Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender Code	Deaths	Population
<1	1002-5	2186-2	46	M	13	845
<1	2106-3	2186-2	46	F	16	4584
<1	2106-3	2186-2	46	M	37	4894
<1	2106-3	2135-2	47	F	12	3404
<1	2106-3	2135-2	47	M	21	3545
<1	2054-5	2186-2	47	F	85	8720
<1	2054-5	2186-2	47	M	99	9006
<1	2106-3	2186-2	47	F	149	26003
<1	2106-3	2186-2	47	M	191	27036
<1	2054-5	2135-2	48	M	19	3028
<1	2106-3	2135-2	48	F	450	93267
<1	2106-3	2135-2	48	M	522	97519
<1	A-PI	2186-2	48	F	32	7652
<1	A-PI	2186-2	48	M	23	8162
<1	2054-5	2186-2	48	F	239	24598
<1	2054-5	2186-2	48	M	303	25717
<1	2106-3	2186-2	48	F	315	62785
<1	2106-3	2186-2	48	M	375	65788
<1	2106-3	2135-2	49	F	25	4015
<1	2106-3	2135-2	49	M	18	4246
<1	2106-3	2186-2	49	F	84	18426
<1	2106-3	2186-2	49	M	107	19374
<1	2106-3	2186-2	50	M	17	2815
<1	2106-3	2135-2	51	F	25	6183
<1	2106-3	2135-2	51	M	31	6428
<1	A-PI	2186-2	51	F	13	3608
<1	A-PI	2186-2	51	M	16	3812
<1	2054-5	2186-2	51	F	98	11699
<1	2054-5	2186-2	51	M	143	12267
<1	2106-3	2186-2	51	F	118	27267
<1	2106-3	2186-2	51	M	141	28579
<1	2106-3	2135-2	53	F	45	7744
<1	2106-3	2135-2	53	M	30	8196
<1	1002-5	2186-2	53	M	11	805
<1	A-PI	2186-2	53	F	16	4166
<1	A-PI	2186-2	53	M	18	4376
<1	2054-5	2186-2	53	F	18	2880
<1	2054-5	2186-2	53	M	25	2970
<1	2106-3	2186-2	53	F	121	26768
<1	2106-3	2186-2	53	M	125	28095
<1	2106-3	2186-2	54	F	56	9198
<1	2106-3	2186-2	54	M	69	9657
<1	2106-3	2135-2	55	F	13	3282
<1	2106-3	2135-2	55	M	20	3455
<1	1002-5	2186-2	55	F	10	441
<1	2054-5	2186-2	55	F	54	3202
<1	2054-5	2186-2	55	M	53	3362
<1	2106-3	2186-2	55	F	87	24107
<1	2106-3	2186-2	55	M	122	25200
<1	2106-3	2186-2	56	F	14	2922
<1	2106-3	2186-2	56	M	20	3025
1-4	2054-5	2186-2	1	F	15	36652
